PeakPosition,Year,WeeksOnChart,Artists,Name,cluster
5,2004,20,Ja Rule,Wonderful,4
5,2018,15,DJ Khaled,No Brainer,1
5,2004,41,Maroon 5,She Will Be Loved,1
5,2018,40,"Zedd, Maren Morris, Grey",The Middle,2
5,2008,35,Natasha Bedingfield,Pocketful Of Sunshine,4
5,2004,21,Ashlee Simpson,Pieces Of Me,1
5,2014,43,Passenger,Let Her Go,2
5,2014,53,Bastille,Pompeii,0
5,2008,16,Jonas Brothers,Burnin' Up,1
5,2004,43,Maroon 5,This Love,4
5,2004,30,Christina Milian,Dip It Low,0
5,2001,25,Nelly Furtado,Turn Off The Light,1
5,2001,46,Staind,It's Been Awhile,0
5,2017,31,Future,Mask Off,1
5,2017,31,Rihanna,Love On The Brain,0
5,2001,33,Uncle Kracker,Follow Me,4
5,2017,40,Charlie Puth,Attention,1
5,2001,53,Train,Drops Of Jupiter,1
5,2010,20,Justin Bieber,Baby,4
5,2010,21,Drake,Find Your Love,4
5,2016,28,Selena Gomez,Same Old Love,2
5,2010,23,Lady Gaga,Alejandro,2
5,2016,34,Alessia Cara,Here,1
5,2001,42,matchbox twenty,If You're Gone,2
5,2002,45,The Calling,Wherever You Will Go,1
5,2002,20,No Doubt,Hey Baby,0
5,2002,38,Puddle Of Mudd,Blurry,1
5,2002,33,Jimmy Eat World,The Middle,1
5,2010,34,Jason Derulo,In My Head,1
5,2002,41,Vanessa Carlton,A Thousand Miles,2
5,2016,39,twenty one pilots,Ride,4
5,2005,26,The Pussycat Dolls,Stickwitu,2
5,2012,31,Nicki Minaj,Starships,4
5,2007,47,Colbie Caillat,Bubbly,2
5,2012,26,Rihanna,Where Have You Been,1
5,2000,27,Macy Gray,I Try,1
5,2007,37,Daughtry,Home,0
5,2007,27,Jim Jones,We Fly High,1
5,2007,25,Fergie,Clumsy,1
5,2013,24,Justin Bieber,Beauty And A Beat,1
5,2006,42,Natasha Bedingfield,Unwritten,4
5,2007,20,Ludacris,Runaway Love,1
5,2019,5,Logic,Homicide,4
5,2007,23,J. Holiday,Bed,4
5,2007,20,50 Cent,Ayo Technology,0
5,2011,24,Lil Wayne,How To Love,0
5,2006,45,Snow Patrol,Chasing Cars,2
5,1999,20,Ricky Martin,Livin' La Vida Loca,1
5,2005,62,Lifehouse,You And Me,0
5,2013,23,Bruno Mars,Treasure,4
6,2001,24,Shakira,"Whenever, Wherever",1
6,2018,28,Sheck Wes,Mo Bamba,3
6,2017,20,The Chainsmokers,Paris,1
6,2001,25,Ja Rule,Livin' It Up,4
6,2017,28,Big Sean,Bounce Back,1
6,2016,39,Shawn Mendes,Treat You Better,4
6,2002,28,Michelle Branch,All You Wanted,4
6,1999,31,Backstreet Boys,I Want It That Way,2
6,2006,18,Gwen Stefani,Wind It Up,4
6,2008,50,Finger Eleven,Paralyzer,4
6,2017,33,Ed Sheeran,Castle On The Hill,1
6,2010,21,Ludacris,How Low,1
6,2000,24,Backstreet Boys,Show Me The Meaning Of Being Lonely,4
6,2017,22,"Migos, Nicki Minaj, Cardi B",MotorSport,1
6,2001,20,112,It's Over Now,1
