PeakPosition,Year,WeeksOnChart,Artists,Name,cluster,Popularity,,.WeeksOnChart
6,2013,61,Imagine Dragons,Demons,1,73,,61
7,2011,0,Jason Aldean,Dirt Road Anthem,1,73,,27
8,2017,0,Alessia Cara,Scars To Your Beautiful,1,73,,43
5,1999,0,Ricky Martin,Livin' La Vida Loca,1,72,,20
3,2007,0,Britney Spears,Gimme More,1,72,,20
7,2012,0,Drake,Take Care,1,72,,34
1,1999,0,Christina Aguilera,Genie In A Bottle,1,72,,25
5,2000,0,Macy Gray,I Try,1,72,,27
4,2005,0,The Game,How We Do,1,72,,28
4,2014,0,"DJ Snake, Lil Jon",Turn Down For What,1,72,,37
9,2014,0,Ed Sheeran,Don't,1,72,,36
2,2008,0,Chris Brown,With You,1,72,,29
9,2004,0,OutKast,Roses,1,71,,21
3,2006,0,Hinder,Lips Of An Angel,1,71,,33
4,2011,0,Dr. Dre,I Need A Doctor,1,71,,20
5,2013,0,Justin Bieber,Beauty And A Beat,1,71,,24
1,2002,0,Ashanti,Foolish,1,71,,32
2,2001,0,Destiny's Child,Survivor,1,71,,20
7,2018,0,Lil Wayne,Uproar,1,71,,20
5,2009,0,Sean Kingston,Fire Burning,1,70,,21
1,2008,0,Lil Wayne,Lollipop,1,70,,28
5,2008,0,Jonas Brothers,Burnin' Up,1,70,,16
8,2014,0,Sia,Chandelier,1,70,,46
3,2016,0,Meghan Trainor,No,1,70,,20
9,2007,0,Amy Winehouse,Rehab,1,70,,20
8,2009,0,Pitbull,Hotel Room Service,1,70,,23
9,2010,0,Lil Wayne,6 Foot 7 Foot,1,69,,21
10,2008,0,Metro Station,Shake It,1,69,,30
8,2011,0,Justin Bieber,Never Say Never,1,69,,19
6,2004,0,D12,My Band,1,69,,18
3,2005,0,50 Cent,Disco Inferno,1,69,,29
6,2012,0,Justin Bieber,As Long As You Love Me,1,69,,29
7,2000,57,Creed,Higher,1,68,,57
6,2010,0,Lil Wayne,Right Above It,1,68,,24
1,2004,0,Snoop Dogg,Drop It Like It's Hot,1,68,,30
2,2007,0,Gwen Stefani,The Sweet Escape,1,68,,40
10,2006,0,Chris Brown,Say Goodbye,1,67,,23
2,2003,0,Chingy,Right Thurr,1,67,,33
10,2009,0,Hannah Montana,He Could Be The One,1,67,,5
2,2005,0,The Pussycat Dolls,Don't Cha,1,67,,40
4,2001,0,Lenny Kravitz,Again,1,67,,32
3,2008,0,Kanye West,Love Lockdown,1,67,,23
6,2009,0,Lady Gaga,Paparazzi,1,67,,27
3,2000,0,Sisqo,Thong Song,1,66,,28
8,2019,0,Khalid,Better,1,66,,41
9,2011,0,Drake,Make Me Proud,1,66,,20
1,2000,0,Creed,With Arms Wide Open,1,65,,47
9,2008,0,"Demi Lovato, Joe Jonas",This Is Me,1,65,,7
5,2010,0,Jason Derulo,In My Head,1,65,,34
5,2016,0,Alessia Cara,Here,1,65,,34
8,2010,0,La Roux,Bulletproof,1,65,,27
10,2007,0,Lil Mama,Lip Gloss,1,64,,11
6,2018,0,Camila Cabello,Never Be The Same,1,64,,37
8,2007,0,Jordin Sparks,Tattoo,1,64,,31
6,2015,0,Taylor Swift,Style,1,64,,32
8,2002,0,Ashanti,Happy,1,63,,23
3,2001,0,Dido,Thank You,1,61,,39
3,2003,0,Nelly,Air Force Ones,1,61,,20
3,2011,0,Jennifer Lopez,On The Floor,1,60,,29
7,2002,0,Sean Paul,Gimme The Light,1,60,,39
10,2013,0,Maroon 5,Love Somebody,1,60,,21
3,2002,0,Usher,U Don't Have To Call,1,59,,26
5,2007,0,Fergie,Clumsy,1,59,,25
7,1999,0,Sugar Ray,Someday,1,58,,32
7,2006,0,Jibbs,Chain Hang Low,1,58,,20
7,2013,0,Maroon 5,Daylight,1,58,,25
3,2004,0,Destiny's Child,Lose My Breath,1,57,,23
6,2005,0,Sean Paul,We Be Burnin',1,57,,28
7,2005,0,Will Smith,Switch,1,57,,28
4,2004,0,Nelly,My Place,1,57,,20
3,1999,0,Marc Anthony,I Need To Know,1,56,,40
5,2012,0,Rihanna,Where Have You Been,1,56,,26
4,2000,0,P!nk,Most Girls,1,53,,27
1,2003,0,"B2K, P. Diddy","Bump, Bump, Bump",1,52,,22
6,2007,0,Huey,"Pop, Lock & Drop It",1,51,,23
10,1999,0,LFO,Girl On TV,1,51,,17
8,2008,0,Jonas Brothers,Tonight,1,50,,4
10,2011,0,Kelly Clarkson,Mr. Know It All,1,50,,23
6,2014,0,Maroon 5,Maps,1,50,,22
9,2001,0,Incubus,Drive,1,48,,39
10,2001,0,Tamia,Stranger In My House,1,48,,21
9,2009,0,Eminem,We Made You,1,47,,10
2,2009,0,Drake,Best I Ever Had,1,47,,24
6,2002,0,Creed,One Last Breath,1,45,,34
7,2009,0,Shinedown,Second Chance,1,45,,41
7,2007,0,Kanye West,Good Life,1,43,,21
4,2002,0,Creed,My Sacrifice,1,40,,29
7,2003,0,Tyrese,How You Gonna Act Like That,1,37,,25
1,2018,0,Travis Scott,Sicko Mode,0,92,,47
1,2017,0,The Weeknd,Starboy,0,84,,30
8,2018,0,Travis Scott,Stargazing,0,84,,8
7,2018,0,5 Seconds Of Summer,Youngblood,0,83,,48
2,2019,0,Ariana Grande,"Break Up With Your Girlfriend, I'm Bored",0,81,,20
